x1,x2,Z_value
-1.0,1.7500000000000002,-1.0
-1.0,1.8125,-1.0
-1.0,1.875,-1.0
-1.0,1.9375,-1.0
-1.0,1.9999999999999998,-1.0
-1.0,2.0625,-1.0
-1.0,2.125,-1.0
-1.0,2.1875,-1.0
-1.0,2.25,-1.0
-1.0,2.3125,-1.0
-1.0,2.375,-1.0
-1.0,2.4375,-1.0
-1.0,2.5,-1.0
-1.0,2.5625,-1.0
-1.0,2.625,-1.0
-1.0,2.6875,-1.0
-1.0,2.75,-1.0
-1.0,2.8125,-1.0
-1.0,2.875,-1.0
-1.0,2.9375,-1.0
-1.0,3.0,-1.0
-1.0,3.0625,-1.0
-1.0,3.125,-1.0
-1.0,3.1875,-1.0
-1.0,3.25,-1.0
-1.0,3.3125,-1.0
-1.0,3.375,-1.0
-1.0,3.4375,-1.0
-1.0,3.5,-1.0
-1.0,3.5625,-1.0
-1.0,3.625,-1.0
-1.0,3.6875,-1.0
-1.0,3.75,-1.0
-1.0,3.8125,-1.0
-1.0,3.875,-1.0
-1.0,3.9375,-1.0
-1.0,4.0,-1.0
-1.0,4.0625,-1.0
-1.0,4.125,-1.0
-1.0,4.1875,-1.0
-1.0,4.25,-1.0
-1.0,4.3125,-1.0
-1.0,4.375,-1.0
-1.0,4.4375,-1.0
-1.0,4.5,-1.0
-1.0,4.5625,-1.0
-1.0,4.625,-1.0
-1.0,4.6875,-1.0
-1.0,4.75,-1.0
-1.0,4.8125,-1.0
-1.0,4.875,-1.0
-1.0,4.9375,-1.0
-1.0,5.0,-1.0
-0.9625,-5.0,-1.0
-0.9625,-4.9375,-1.0
-0.9625,-4.875,-1.0
-0.9625,-4.8125,-1.0
-0.9625,-4.75,-1.0
-0.9625,-4.6875,-1.0
-0.9625,-4.625,-1.0
-0.9625,-4.5625,-1.0
-0.9625,-4.5,-1.0
-0.9625,-4.4375,-1.0
-0.9625,-4.375,-1.0
-0.9625,-4.3125,-1.0
-0.9625,-4.25,-1.0
-0.9625,-4.1875,-1.0
-0.9625,-4.125,-1.0
-0.9625,-4.0625,-1.0
-0.9625,-4.0,-1.0
-0.9625,-3.9375,-1.0
-0.9625,-3.875,-1.0
-0.9625,-3.8125,-1.0
-0.9625,-3.75,-1.0
-0.9625,-3.6875,-1.0
-0.9625,-3.625,-1.0
-0.9625,-3.5625,-1.0
-0.9625,-3.5,-1.0
-0.9625,-3.4375,-1.0
-0.9625,-3.375,-1.0
-0.9625,-3.3125,-1.0
-0.9625,-3.25,-1.0
-0.9625,-3.1875,-1.0
-0.9625,-3.125,-1.0
-0.9625,-3.0625,-1.0
-0.9625,-3.0,-1.0
-0.9625,-2.9375,-1.0
-0.9625,-2.875,-1.0
-0.9625,-2.8125,-1.0
-0.9625,-2.75,-1.0
-0.9625,-2.6875,-1.0
-0.9625,-2.625,-1.0
-0.9625,-2.5625,-1.0
-0.9625,-2.5,-1.0
-0.9625,-2.4375,-1.0
-0.9625,-2.375,-1.0
-0.9625,-2.3125,-1.0
-0.9625,-2.25,-1.0
-0.9625,-2.1875,-1.0
-0.9625,-2.125,-1.0
-0.9625,-2.0625,-1.0
-0.9625,-2.0,-1.0
-0.9625,-1.9375,-1.0
-0.9625,-1.875,-1.0
-0.9625,-1.8125,-1.0
-0.9625,-1.75,-1.0
-0.9625,-1.6875,-1.0
-0.9625,-1.625,-1.0
-0.9625,-1.5625,-1.0
-0.9625,-1.5,-1.0
-0.9625,-1.4375,-1.0
-0.9625,-1.375,-1.0
-0.9625,-1.3125,-1.0
-0.9625,-1.25,-1.0
-0.9625,-1.1875,-1.0
-0.9625,-1.125,-1.0
-0.9625,-1.0625,-1.0
-0.9625,-1.0,-1.0
-0.9625,-0.9375,-1.0
-0.9625,-0.875,-1.0
-0.9625,-0.8125,-1.0
-0.9625,-0.75,-1.0
-0.9625,-0.6875,-1.0
-0.9625,-0.625,-1.0
-0.9625,-0.5625,-1.0
-0.9625,-0.5,-1.0
-0.9625,-0.4375,-1.0
-0.9625,-0.375,-1.0
-0.9625,-0.3125,-1.0
-0.9625,-0.25,-1.0
-0.9625,-0.1875,-1.0
-0.9625,-0.125,-1.0
-0.9625,-0.0625,-1.0
-0.9625,0.0,-1.0
-0.9625,0.0625,-1.0
-0.9625,0.125,-1.0
-0.9625,0.1875,-1.0
-0.9625,0.25,-1.0
-0.9625,0.3125,-1.0
-0.9625,0.375,-1.0
-0.9625,0.4375,-1.0
-0.9625,0.5,-1.0
-0.9625,0.5625,-1.0
-0.9625,0.625,-1.0
-0.9625,0.6875,-1.0
-0.9625,0.75,-1.0
-0.9625,0.8125,-1.0
-0.9625,0.875,-1.0
-0.9625,0.9375,-1.0
-0.9625,1.0,-1.0
-0.9625,1.0624999999999998,-1.0
-0.9625,1.1250000000000002,-1.0
-0.9625,1.1875,-1.0
-0.9625,1.25,-1.0
-0.9625,1.3125,-1.0
-0.9625,1.3749999999999998,-1.0
-0.9625,1.4375000000000002,-1.0
-0.9625,1.5,-1.0
-0.9625,1.5625,-1.0
-0.9625,1.625,-1.0
-0.9625,1.6874999999999998,-1.0
-0.9625,1.7500000000000002,-1.0
-0.9625,1.8125,-1.0
-0.9625,1.875,-1.0
-0.9625,1.9375,-1.0
-0.9625,1.9999999999999998,-1.0
-0.9625,2.0625,-1.0
-0.9625,2.125,-1.0
-0.9625,2.1875,-1.0
-0.9625,2.25,-1.0
-0.9625,2.3125,-1.0
-0.9625,2.375,-1.0
-0.9625,2.4375,-1.0
-0.9625,2.5,-1.0
-0.9625,2.5625,-1.0
-0.9625,2.625,-1.0
-0.9625,2.6875,-1.0
-0.9625,2.75,-1.0
-0.9625,2.8125,-1.0
-0.9625,2.875,-1.0
-0.9625,2.9375,-1.0
-0.9625,3.0,-1.0
-0.9625,3.0625,-1.0
-0.9625,3.125,-1.0
-0.9625,3.1875,-1.0
-0.9625,3.25,-1.0
-0.9625,3.3125,-1.0
-0.9625,3.375,-1.0
-0.9625,3.4375,-1.0
-0.9625,3.5,-1.0
-0.9625,3.5625,-1.0
-0.9625,3.625,-1.0
-0.9625,3.6875,-1.0
-0.9625,3.75,-1.0
-0.9625,3.8125,-1.0
-0.9625,3.875,-1.0
-0.9625,3.9375,-1.0
-0.9625,4.0,-1.0
-0.9625,4.0625,-1.0
-0.9625,4.125,-1.0
-0.9625,4.1875,-1.0
-0.9625,4.25,-1.0
-0.9625,4.3125,-1.0
-0.9625,4.375,-1.0
-0.9625,4.4375,-1.0
-0.9625,4.5,-1.0
-0.9625,4.5625,-1.0
-0.9625,4.625,-1.0
-0.9625,4.6875,-1.0
-0.9625,4.75,-1.0
-0.9625,4.8125,-1.0
-0.9625,4.875,-1.0
-0.9625,4.9375,-1.0
-0.9625,5.0,-1.0
-0.925,-5.0,-1.0
-0.925,-4.9375,-1.0
-0.925,-4.875,-1.0
-0.925,-4.8125,-1.0
-0.925,-4.75,-1.0
-0.925,-4.6875,-1.0
-0.925,-4.625,-1.0
-0.925,-4.5625,-1.0
-0.925,-4.5,-1.0
-0.925,-4.4375,-1.0
-0.925,-4.375,-1.0
-0.925,-4.3125,-1.0
-0.925,-4.25,-1.0
-0.925,-4.1875,-1.0
-0.925,-4.125,-1.0
-0.925,-4.0625,-1.0
-0.925,-4.0,-1.0
-0.925,-3.9375,-1.0
-0.925,-3.875,-1.0
-0.925,-3.8125,-1.0
-0.925,-3.75,-1.0
-0.925,-3.6875,-1.0
-0.925,-3.625,-1.0
-0.925,-3.5625,-1.0
-0.925,-3.5,-1.0
-0.925,-3.4375,-1.0
-0.925,-3.375,-1.0
-0.925,-3.3125,-1.0
-0.925,-3.25,-1.0
-0.925,-3.1875,-1.0
-0.925,-3.125,-1.0
-0.925,-3.0625,-1.0
-0.925,-3.0,-1.0
-0.925,-2.9375,-1.0
-0.925,-2.875,-1.0
-0.925,-2.8125,-1.0
-0.925,-2.75,-1.0
-0.925,-2.6875,-1.0
-0.925,-2.625,-1.0
-0.925,-2.5625,-1.0
-0.925,-2.5,-1.0
-0.925,-2.4375,-1.0
-0.925,-2.375,-1.0
-0.925,-2.3125,-1.0
-0.925,-2.25,-1.0
-0.925,-2.1875,-1.0
-0.925,-2.125,-1.0
-0.925,-2.0625,-1.0
-0.925,-2.0,-1.0
-0.925,-1.9375,-1.0
-0.925,-1.875,-1.0
-0.925,-1.8125,-1.0
-0.925,-1.75,-1.0
-0.925,-1.6875,-1.0
-0.925,-1.625,-1.0
-0.925,-1.5625,-1.0
-0.925,-1.5,-1.0
-0.925,-1.4375,-1.0
-0.925,-1.375,-1.0
-0.925,-1.3125,-1.0
-0.925,-1.25,-1.0
-0.925,-1.1875,-1.0
-0.925,-1.125,-1.0
-0.925,-1.0625,-1.0
-0.925,-1.0,-1.0
-0.925,-0.9375,-1.0
-0.925,-0.875,-1.0
-0.925,-0.8125,-1.0
-0.925,-0.75,-1.0
-0.925,-0.6875,-1.0
-0.925,-0.625,-1.0
-0.925,-0.5625,-1.0
-0.925,-0.5,-1.0
-0.925,-0.4375,-1.0
-0.925,-0.375,-1.0
-0.925,-0.3125,-1.0
-0.925,-0.25,-1.0
-0.925,-0.1875,-1.0
-0.925,-0.125,-1.0
-0.925,-0.0625,-1.0
-0.925,0.0,-1.0
-0.925,0.0625,-1.0
-0.925,0.125,-1.0
-0.925,0.1875,-1.0
-0.925,0.25,-1.0
-0.925,0.3125,-1.0
-0.925,0.375,-1.0
-0.925,0.4375,-1.0
-0.925,0.5,-1.0
-0.925,0.5625,-1.0
-0.925,0.625,-1.0
-0.925,0.6875,-1.0
-0.925,0.75,-1.0
-0.925,0.8125,-1.0
-0.925,0.875,-1.0
-0.925,0.9375,-1.0
-0.925,1.0,-1.0
-0.925,1.0624999999999998,-1.0
-0.925,1.1250000000000002,-1.0
-0.925,1.1875,-1.0
-0.925,1.25,-1.0
-0.925,1.3125,-1.0
-0.925,1.3749999999999998,-1.0
-0.925,1.4375000000000002,-1.0
-0.925,1.5,-1.0
-0.925,1.5625,-1.0
-0.925,1.625,-1.0
-0.925,1.6874999999999998,-1.0
-0.925,1.7500000000000002,-1.0
-0.925,1.8125,-1.0
-0.925,1.875,-1.0
-0.925,1.9375,-1.0
-0.925,1.9999999999999998,-1.0
-0.925,2.0625,-1.0
-0.925,2.125,-1.0
-0.925,2.1875,-1.0
-0.925,2.25,-1.0
-0.925,2.3125,-1.0
-0.925,2.375,-1.0
-0.925,2.4375,-1.0
-0.925,2.5,-1.0
-0.925,2.5625,-1.0
-0.925,2.625,-1.0
-0.925,2.6875,-1.0
-0.925,2.75,-1.0
-0.925,2.8125,-1.0
-0.925,2.875,-1.0
-0.925,2.9375,-1.0
-0.925,3.0,-1.0
-0.925,3.0625,-1.0
-0.925,3.125,-1.0
-0.925,3.1875,-1.0
-0.925,3.25,-1.0
-0.925,3.3125,-1.0
-0.925,3.375,-1.0
-0.925,3.4375,-1.0
-0.925,3.5,-1.0
-0.925,3.5625,-1.0
-0.925,3.625,-1.0
-0.925,3.6875,-1.0
-0.925,3.75,-1.0
-0.925,3.8125,-1.0
-0.925,3.875,-1.0
-0.925,3.9375,-1.0
-0.925,4.0,-1.0
-0.925,4.0625,-1.0
-0.925,4.125,-1.0
-0.925,4.1875,-1.0
-0.925,4.25,-1.0
-0.925,4.3125,-1.0
-0.925,4.375,-1.0
-0.925,4.4375,-1.0
-0.925,4.5,-1.0
-0.925,4.5625,-1.0
-0.925,4.625,-1.0
-0.925,4.6875,-1.0
-0.925,4.75,-1.0
-0.925,4.8125,-1.0
-0.925,4.875,-1.0
-0.925,4.9375,-1.0
-0.925,5.0,-1.0
-0.8875,-5.0,-1.0
-0.8875,-4.9375,-1.0
-0.8875,-4.875,-1.0
-0.8875,-4.8125,-1.0
-0.8875,-4.75,-1.0
-0.8875,-4.6875,-1.0
-0.8875,-4.625,-1.0
-0.8875,-4.5625,-1.0
-0.8875,-4.5,-1.0
-0.8875,-4.4375,-1.0
-0.8875,-4.375,-1.0
-0.8875,-4.3125,-1.0
-0.8875,-4.25,-1.0
-0.8875,-4.1875,-1.0
-0.8875,-4.125,-1.0
-0.8875,-4.0625,-1.0
-0.8875,-4.0,-1.0
-0.8875,-3.9375,-1.0
-0.8875,-3.875,-1.0
-0.8875,-3.8125,-1.0
-0.8875,-3.75,-1.0
-0.8875,-3.6875,-1.0
-0.8875,-3.625,-1.0
-0.8875,-3.5625,-1.0
-0.8875,-3.5,-1.0
-0.8875,-3.4375,-1.0
-0.8875,-3.375,-1.0
-0.8875,-3.3125,-1.0
-0.8875,-3.25,-1.0
-0.8875,-3.1875,-1.0
-0.8875,-3.125,-1.0
-0.8875,-3.0625,-1.0
-0.8875,-3.0,-1.0
-0.8875,-2.9375,-1.0
-0.8875,-2.875,-1.0
-0.8875,-2.8125,-1.0
-0.8875,-2.75,-1.0
-0.8875,-2.6875,-1.0
-0.8875,-2.625,-1.0
-0.8875,-2.5625,-1.0
-0.8875,-2.5,-1.0
-0.8875,-2.4375,-1.0
-0.8875,-2.375,-1.0
-0.8875,-2.3125,-1.0
-0.8875,-2.25,-1.0
-0.8875,-2.1875,-1.0
-0.8875,-2.125,-1.0
-0.8875,-2.0625,-1.0
-0.8875,-2.0,-1.0
-0.8875,-1.9375,-1.0
-0.8875,-1.875,-1.0
-0.8875,-1.8125,-1.0
-0.8875,-1.75,-1.0
-0.8875,-1.6875,-1.0
-0.8875,-1.625,-1.0
-0.8875,-1.5625,-1.0
-0.8875,-1.5,-1.0
-0.8875,-1.4375,-1.0
-0.8875,-1.375,-1.0
-0.8875,-1.3125,-1.0
-0.8875,-1.25,-1.0
-0.8875,-1.1875,-1.0
-0.8875,-1.125,-1.0
-0.8875,-1.0625,-1.0
-0.8875,-1.0,-1.0
-0.8875,-0.9375,-1.0
-0.8875,-0.875,-1.0
-0.8875,-0.8125,-1.0
-0.8875,-0.75,-1.0
-0.8875,-0.6875,-1.0
-0.8875,-0.625,-1.0
-0.8875,-0.5625,-1.0
-0.8875,-0.5,-1.0
